Orginal File Name:,CT-JTESTPANAS-2018_5_4_1054.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36,IP: undefined,Time:,2018_5_4_1054,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_ms,response_time,response,result
main,10,1,362,151,206.461,0.03,1,2,
main,11,1,528,111,206.886,0.013000000000000001,1,2,
main,12,1,480,-140,207.311,0.014,1,2,
main,13,1,208,-188,207.744,0.018000000000000002,1,2,
main,14,1,90,136,208.165,0.016,1,1,
main,15,1,-433,-21,208.50900000000001,0.065,1,1,
main,16,1,-680,-38,208.85,0.058,1,2,
main,17,1,199,-266,209.282,0.012,1,2,
main,18,1,278,139,209.71,0.024,1,1,
main,19,1,-201,1,210.049,0.051000000000000004,1,1,
main,20,1,-261,-132,210.395,0.063,1,1,
main,21,1,-563,-121,210.733,0.056,1,1,
main,22,1,-218,-59,211.079,0.06,1,2,
main,23,1,302,51,211.513,0.025,1,2,
main,24,1,366,359,211.946,0.026000000000000002,1,2,
main,25,1,640,147,212.38,0.024,1,1,
main,26,1,-460,-194,212.723,0.068,1,1,
main,27,1,-424,262,213.06900000000002,0.066,1,1,
main,28,1,-144,4,213.415,0.057,1,1,
main,29,1,-41,134,213.752,0.054,1,1,
main,30,1,-144,224,214.094,0.058,1,1,
main,31,1,-185,-116,214.433,0.053,1,1,
main,32,1,-503,47,214.772,0.057,1,1,
main,33,1,-183,213,215.116,0.058,1,1,
main,34,1,-339,7,215.454,0.055,1,1,
main,35,1,-274,-180,215.794,0.063,1,1,
main,36,1,-429,70,216.13400000000001,0.059000000000000004,1,1,
main,37,1,-469,174,216.469,0.053,1,1,
main,38,1,-148,-318,216.805,0.054,1,1,
main,39,1,-323,-61,217.144,0.057,1,1,
main,40,1,-545,-126,217.485,0.069,1,1,
main,41,1,-407,188,217.824,0.077,1,1,
main,42,1,-183,249,218.165,0.07200000000000001,1,1,
main,43,1,-467,-47,218.50300000000001,0.069,1,1,
main,44,1,-486,-110,218.84900000000002,0.068,1,1,
main,45,1,-279,313,219.196,0.062,1,1,
main,46,1,-494,173,219.542,0.061,1,1,
main,47,1,-127,27,219.886,0.058,1,1,
main,48,1,-149,-50,220.22,0.053,1,2,
